iteration,residual_Eoed,residual_K0,relative_error_Eoed,relative_error_K0,error_measure,tolerance,alpha,Hpp,merit_function,step_length,backtracks
0,   3.3525380069323801E+003,  -3.9248647817517412E-002,   1.1175126689774600E-001,   9.8121619543793531E-002,   1.1175126689774600E-001,   9.9999999999999995E-007,   1.2000000000000000E+000,   6.0000000000000000E+004,   1.1058098937574114E-002,   0.0000000000000000E+000,0
1,  -4.4315177249813132E+001,  -9.6545602685732534E-003,   1.4771725749937710E-003,   2.4136400671433134E-002,   2.4136400671433134E-002,   9.9999999999999995E-007,   1.3773249400490746E+000,   7.5536254152419759E+004,   2.9237393809413581E-004,   1.0000000000000000E+000,0
2,  -6.6072957235955982E+000,  -4.6528575177162690E-004,   2.2024319078651995E-004,   1.1632143794290672E-003,   1.1632143794290672E-003,   9.9999999999999995E-007,   1.4439582151700687E+000,   7.5230243942345740E+004,   7.0078737779918880E-007,   1.0000000000000000E+000,0
3,  -2.2687800009152852E+000,  -1.9096373497506924E-006,   7.5626000030509501E-005,   4.7740933743767311E-006,   7.5626000030509501E-005,   9.9999999999999995E-007,   1.4475936872492980E+000,   7.5212965974994237E+004,   2.8710419240809455E-009,   1.0000000000000000E+000,0
4,   2.9981113701069262E-002,   1.3976993068487431E-007,   9.9937045670230879E-007,   3.4942482671218578E-007,   9.9937045670230879E-007,   9.9999999999999995E-007,   1.4475802740346484E+000,   7.5207808657566711E+004,   5.6041950962611108E-013,   5.0000000000000000E-001,1
